quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
11,185.0,568.0,7.0,7.0,25.0
4,60.0,60.0,1.0,1.0,4.3
4,68.0,68.0,2.0,2.0,6.25
9,65.0,130.0,3.0,3.0,4.1
10,340.0,400.0,5.0,6.0,88.0
3,86.7,350.0,4.0,4.0,65.0
11,40.0,126.0,3.0,4.0,11.8
10,40.0,160.0,4.0,3.0,9.2
Tân Bình,50.0,220.0,4.0,4.0,6.36
8,67.0,134.0,4.0,3.0,0.915
4,81.0,81.0,2.0,2.0,3.95
8,65.5,65.5,3.0,3.0,7.0
Thủ Đức (TP. Thủ Đức),140.0,200.0,2.0,2.0,11.5
1,67.2,144.0,4.0,4.0,78.0
8,42.0,82.0,2.0,2.0,3.85
11,68.0,68.0,6.0,6.0,13.1
8,58.0,58.0,4.0,4.0,2.4
10,56.0,112.0,3.0,2.0,2.45
2,37.0,74.0,2.0,2.0,4.1
1,800.0,486.0,3.0,3.0,350.0
5,55.0,109.0,3.0,3.0,1.053
5,80.0,80.0,1.0,1.0,8.599
4,85.0,85.0,2.0,2.0,3.125
10,55.0,55.0,5.0,6.0,12.9
2,85.0,85.0,2.0,2.0,2.75
10,55.0,55.0,8.0,8.0,10.45
12,50.0,50.0,2.0,2.0,4.25
10,45.0,90.0,2.0,2.0,6.19
9,55.0,110.0,2.0,2.0,0.91
3,165.0,600.0,7.0,7.0,55.0
Thủ Đức (TP. Thủ Đức),86.0,100.0,2.0,2.0,6.5
Tân Bình,88.0,160.0,2.0,2.0,18.999
11,52.0,52.0,4.0,5.0,10.5
Phú Nhuận,256.0,800.0,6.0,6.0,192.999
5,50.0,200.0,5.0,5.0,12.9
6,33.0,33.0,5.0,3.0,4.5
1,68.0,272.0,3.0,4.0,26.0
1,83.03,81.6,3.0,4.0,38.0
Tân Bình,109.0,200.0,4.0,2.0,8.9
4,92.0,92.0,2.0,2.0,5.5
6,72.0,196.0,5.0,6.0,12.7
9,59.0,59.0,2.0,2.0,5.149
3,840.0,1680.0,2.0,2.0,350.0
6,76.0,126.0,4.0,4.0,15.5
3,103.0,400.0,4.0,4.0,39.999
Bình Thạnh,70.0,200.0,5.0,6.0,11.5
2,88.0,88.0,2.0,2.0,9.7
Bình Thạnh,26.0,75.0,2.0,2.0,4.5
12,90.0,90.0,4.0,4.0,11.5
10,62.0,62.0,5.0,6.0,20.0
3,543.0,961.0,3.0,3.0,350.0
1,64.9,136.0,3.0,3.0,29.0
Tân Bình,26.0,72.0,2.0,3.0,4.78
