quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
3,65.0,280.0,11.0,12.0,27.0
3,63.0,63.0,6.0,8.0,32.5
3,35.0,200.0,10.0,8.0,18.0
3,61.0,350.0,6.0,6.0,24.0
3,75.0,140.0,2.0,2.0,42.0
3,75.0,249.0,3.0,4.0,25.0
3,152.0,250.0,3.0,3.0,39.0
3,114.0,650.0,11.0,7.0,38.0
3,164.0,600.0,4.0,4.0,69.999
3,103.4,200.0,2.0,2.0,28.0
3,171.0,700.0,5.0,6.0,39.999
3,114.0,250.0,2.0,2.0,45.0
3,100.0,499.0,5.0,5.0,29.0
3,90.0,148.0,2.0,2.0,43.0
3,76.0,230.0,3.0,3.0,25.499
3,237.0,450.0,1.0,1.0,60.0
3,103.0,400.0,4.0,4.0,39.999
3,93.0,499.0,7.0,7.0,59.0
3,165.0,600.0,7.0,7.0,55.0
3,105.0,260.0,5.0,3.0,27.0
3,91.0,700.0,7.0,7.0,85.0
3,274.7,1745.0,9.0,9.0,78.999
3,625.0,625.0,2.0,2.0,560.0
3,126.4,500.3,8.0,8.0,78.0
3,115.0,115.0,10.0,12.0,60.0
3,680.0,5440.0,8.0,8.0,200.0
3,87.0,87.0,4.0,4.0,65.0
3,260.0,260.0,2.0,2.0,52.0
3,58.0,256.0,4.0,5.0,21.0
3,373.0,373.0,3.0,3.0,80.0
3,72.0,146.0,2.0,3.0,28.9
3,198.0,1000.0,7.0,7.0,109.999
3,104.0,726.4,6.0,7.0,45.0
3,138.0,138.0,2.0,2.0,60.0
3,108.0,720.0,6.0,7.0,63.0
3,144.0,144.0,7.0,7.0,64.0
3,320.0,640.0,2.0,2.0,400.0
3,678.0,678.0,9.0,9.0,60.0
3,180.0,427.0,3.0,4.0,43.0
3,264.0,264.0,1.0,1.0,59.0
3,138.0,138.0,4.0,5.0,130.0
3,210.0,210.0,7.0,7.0,250.0
3,280.0,840.0,2.0,3.0,60.0
3,130.0,780.0,6.0,6.0,34.0
3,134.4,134.0,1.0,2.0,39.0
3,224.8,674.4,2.0,3.0,35.0
3,76.0,76.0,3.0,4.0,34.0
3,60.0,177.0,3.0,4.0,30.0
3,69.0,249.0,4.0,5.0,35.0
3,399.0,407.0,2.0,4.0,75.0
3,115.0,577.0,7.0,7.0,34.0
3,84.0,73.4,6.0,7.0,40.0
3,250.0,1747.0,10.0,10.0,180.0
3,281.0,321.0,1.0,1.0,100.0
3,150.0,1050.0,7.0,7.0,160.0
3,145.0,145.0,3.0,3.0,95.0
3,120.0,960.0,7.0,8.0,45.0
3,154.0,462.0,2.0,3.0,60.0
3,121.0,847.0,5.0,6.0,45.0
3,100.0,600.0,6.0,6.0,30.0
3,543.0,961.0,3.0,3.0,350.0
3,132.0,924.0,7.0,7.0,36.0
3,1026.0,1000.0,9.0,9.0,500.0
3,434.0,1685.0,7.0,7.0,170.0
3,246.0,324.0,4.0,3.0,179.0
3,600.0,531.0,7.0,7.0,350.0
3,98.0,120.0,2.0,2.0,85.0
3,141.0,423.0,3.0,3.0,35.0
3,78.0,468.0,6.0,6.0,50.0
3,616.0,1848.0,3.0,3.0,300.0
3,128.0,384.0,3.0,3.0,50.0
3,66.0,132.0,2.0,2.0,15.0
3,68.0,272.0,4.0,4.0,37.0
3,68.0,272.0,4.0,4.0,20.0
3,175.0,600.0,6.0,6.0,45.0
3,160.0,640.0,4.0,3.0,146.0
3,178.0,178.0,4.0,4.0,192.0
3,335.0,335.0,7.0,7.0,270.0
3,108.0,324.0,2.0,2.0,72.0
3,41.0,82.0,2.0,1.0,23.0
3,108.0,84.0,7.0,7.0,35.0
3,225.0,240.0,3.0,3.0,100.0
3,476.0,550.0,3.0,3.0,310.0
3,336.0,336.0,7.0,7.0,270.0
3,319.0,336.0,12.0,12.0,350.0
3,288.0,1728.0,6.0,6.0,135.0
3,48.0,48.0,5.0,5.0,25.0
3,400.0,400.0,3.0,3.0,200.0
3,62.0,62.0,3.0,3.0,35.0
3,112.0,448.0,4.0,4.0,37.0
3,840.0,1680.0,2.0,2.0,350.0
3,476.0,548.0,3.0,3.0,200.0
3,408.0,514.0,2.0,3.0,350.0
3,170.0,170.0,8.0,8.0,133.0
3,368.0,4416.0,12.0,12.0,630.0
3,258.0,1600.0,7.0,7.0,258.0
3,99.0,785.0,3.0,3.0,75.0
3,583.0,4410.0,3.0,3.0,460.0
3,125.0,861.0,3.0,3.0,85.0
3,78.0,350.0,6.0,7.0,50.0
3,315.0,1780.0,15.0,16.0,180.0
3,78.0,300.0,6.0,7.0,52.999
3,150.0,900.0,10.0,11.0,95.0
3,163.0,673.0,10.0,11.0,75.0
3,160.0,551.0,6.0,7.0,60.0
3,217.0,124.8,3.0,3.0,105.0
3,140.0,423.5,4.0,4.0,90.0
3,337.0,1600.0,10.0,10.0,260.0
3,513.0,1100.0,6.0,6.0,400.0
3,144.0,844.0,6.0,6.0,165.0
3,800.0,800.0,3.0,3.0,480.0
3,378.0,378.0,1.0,1.0,105.0
3,568.0,568.0,6.0,6.0,165.0
3,340.0,340.0,6.0,6.0,109.0
3,533.0,2000.0,10.0,10.0,350.0
3,340.0,700.0,5.0,5.0,109.0
3,105.0,281.0,5.0,6.0,35.0
3,100.0,284.0,6.0,7.0,36.0
3,65.0,349.0,7.0,7.0,31.0
3,102.0,476.0,10.0,11.0,35.0
3,175.0,1400.0,28.0,28.0,89.0
3,101.8,637.6,15.0,15.0,45.0
3,289.0,1500.0,8.0,8.0,105.0
3,88.4,113.0,3.0,3.0,25.5
4,50.0,50.0,1.0,1.0,4.1
4,85.0,85.0,2.0,2.0,3.125
4,71.0,71.0,2.0,2.0,1.58
4,84.0,84.0,2.0,2.0,1.645
4,108.0,160.0,3.0,2.0,9.5
4,57.0,100.0,2.0,3.0,5.0
4,44.0,84.0,2.0,2.0,13.1
4,116.0,116.0,2.0,2.0,10.5
4,63.5,63.5,2.0,2.0,2.55
4,81.0,81.0,2.0,2.0,1.835
4,433.0,112.0,3.0,4.0,4.5
4,26.0,26.0,2.0,1.0,1.79
4,114.0,114.0,3.0,2.0,11.1
4,84.0,180.0,3.0,3.0,7.7
4,80.64,80.64,2.0,2.0,1.388
4,78.5,78.5,2.0,2.0,2.58
4,71.0,71.0,2.0,2.0,1.97
4,82.0,82.0,2.0,2.0,2.05
4,92.0,92.0,3.0,2.0,2.83
